repo,tag,title,published_at,kind,is_prerelease,notes_length,url,release_date
streamlit/streamlit,1.63.1.dev20260902,1.63.1.dev20260902,2026-09-03 05:27:14+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.63.1.dev20260902,2026-09-03
ollama/ollama,v0.33.3-rc2,v0.33.3-rc2: gemma4: image and audio input support,2026-09-02 22:07:28+00:00,patch,True,1176,https://github.com/ollama/ollama/releases/tag/v0.33.3-rc2,2026-09-02
ollama/ollama,v0.33.3-rc1,v0.33.3-rc1,2026-09-02 16:46:04+00:00,patch,True,41,https://github.com/ollama/ollama/releases/tag/v0.33.3-rc1,2026-09-02
microsoft/vscode,1.136.0,1.136.0,2026-09-02 16:18:16+00:00,minor,False,44,https://github.com/microsoft/vscode/releases/tag/1.136.0,2026-09-02
langchain-ai/langchain,langchain==1.4.0a4,langchain==1.4.0a4,2026-09-02 05:35:23+00:00,minor,True,41374,https://github.com/langchain-ai/langchain/releases/tag/langchain%3D%3D1.4.0a4,2026-09-02
streamlit/streamlit,1.63.1.dev20260901,1.63.1.dev20260901,2026-09-02 04:38:41+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.63.1.dev20260901,2026-09-02
vllm-project/vllm,v0.29.0rc1,v0.29.0rc1: [Bugfix] Handle padded routes in CUTLASS MoE permutations (#54747),2026-09-02 02:11:30+00:00,minor,True,208,https://github.com/vllm-project/vllm/releases/tag/v0.29.0rc1,2026-09-02
ollama/ollama,v0.33.3-rc0,v0.33.3-rc0: llama.cpp: version bump b10729 (#18160),2026-09-01 23:24:15+00:00,patch,True,491,https://github.com/ollama/ollama/releases/tag/v0.33.3-rc0,2026-09-01
langchain-ai/langchain,langchain==1.4.0a3,langchain==1.4.0a3,2026-09-01 17:22:31+00:00,minor,True,1658,https://github.com/langchain-ai/langchain/releases/tag/langchain%3D%3D1.4.0a3,2026-09-01
streamlit/streamlit,1.63.0,1.63.0,2026-09-01 17:12:37+00:00,minor,False,3656,https://github.com/streamlit/streamlit/releases/tag/1.63.0,2026-09-01
python/cpython,v3.15.0rc2,v3.15.0rc2,2026-09-01 09:14:36+00:00,minor,True,16,https://github.com/python/cpython/releases/tag/v3.15.0rc2,2026-09-01
streamlit/streamlit,1.62.1.dev20260831,1.62.1.dev20260831,2026-09-01 04:37:19+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.62.1.dev20260831,2026-09-01
streamlit/streamlit,1.62.1.dev20260830,1.62.1.dev20260830,2026-08-31 04:39:16+00:00,patch,True,36,https://github.com/streamlit/streamlit/releases/tag/1.62.1.dev20260830,2026-08-31
